date,campaign,adset,platform,spend,impressions,clicks,conversions,revenue,device
2025-07-11,Xmas Promo,Prospecting,TikTok,481.46,6964,244,47,762.24,Desktop
2025-07-09,Flash Deal,Lookalike,TikTok,150.0,6051,532,45,1739.83,Desktop
2025-07-21,Summer Sale,Prospecting,TikTok,119.56,5933,593,26,1927.18,Desktop
2025-07-15,Back to School,Broad,TikTok,15.96,8741,795,82,1940.36,Desktop
2025-07-18,Xmas Promo,Lookalike,TikTok,31.15,7944,771,84,1784.46,Desktop
2025-07-02,Xmas Promo,Retargeting,TikTok,268.57,9749,879,19,1986.07,Desktop
2025-07-01,Summer Sale,Prospecting,TikTok,46.16,8116,598,42,1116.63,Mobile
2025-07-18,Summer Sale,Broad,TikTok,484.96,7056,986,53,1055.73,Mobile
2025-07-19,Flash Deal,Lookalike,TikTok,318.41,1777,940,68,1397.58,Mobile
2025-07-18,Xmas Promo,Prospecting,TikTok,232.73,3855,547,36,1262.56,Desktop
2025-07-19,Flash Deal,Prospecting,TikTok,296.31,8628,261,58,1804.29,Mobile
2025-07-25,Xmas Promo,Lookalike,TikTok,32.27,4508,669,75,576.31,Desktop
2025-07-22,Flash Deal,Broad,TikTok,475.7,817,491,5,1782.72,Desktop
2025-07-08,Back to School,Lookalike,TikTok,233.27,3699,222,53,1247.86,Desktop
2025-07-20,Back to School,Prospecting,TikTok,145.92,9970,243,56,392.48,Desktop
2025-07-13,Flash Deal,Prospecting,TikTok,237.21,3243,381,93,719.64,Desktop
2025-07-06,Flash Deal,Broad,TikTok,295.99,2193,592,22,173.91,Desktop
2025-07-02,Summer Sale,Retargeting,TikTok,487.45,4347,921,8,1972.7,Mobile
2025-07-05,Back to School,Broad,TikTok,352.1,5495,199,57,1081.47,Mobile
2025-07-18,Xmas Promo,Lookalike,TikTok,161.67,9158,507,41,1631.31,Mobile
2025-07-21,Flash Deal,Prospecting,TikTok,345.52,7932,934,20,341.98,Mobile
2025-07-09,Summer Sale,Lookalike,TikTok,456.35,3634,539,15,1648.62,Mobile
2025-07-08,Xmas Promo,Retargeting,TikTok,475.4,3946,368,13,1456.92,Mobile
2025-07-22,Back to School,Broad,TikTok,310.57,8673,873,27,848.12,Mobile
2025-07-06,Summer Sale,Lookalike,TikTok,467.04,892,341,54,1734.81,Desktop
2025-07-11,Xmas Promo,Broad,TikTok,32.16,9330,279,23,72.21,Mobile
2025-07-14,Xmas Promo,Broad,TikTok,194.47,9258,575,50,1624.9,Mobile
2025-07-07,Xmas Promo,Broad,TikTok,493.77,5501,806,25,317.83,Mobile
2025-07-08,Flash Deal,Broad,TikTok,301.12,6051,852,30,774.16,Mobile
2025-07-01,Back to School,Prospecting,TikTok,485.26,8265,544,23,1687.4,Desktop
2025-07-12,Flash Deal,Broad,TikTok,420.78,658,683,79,948.01,Mobile
2025-07-22,Back to School,Lookalike,TikTok,213.26,4110,314,73,561.35,Mobile
2025-07-14,Flash Deal,Retargeting,TikTok,37.62,7488,102,33,1732.15,Mobile
2025-07-19,Summer Sale,Retargeting,TikTok,408.32,7406,156,5,1999.44,Desktop
2025-07-04,Summer Sale,Broad,TikTok,498.35,9103,393,8,1119.75,Desktop
2025-07-04,Flash Deal,Lookalike,TikTok,386.8,3898,974,21,1890.64,Mobile
2025-07-05,Back to School,Lookalike,TikTok,426.33,2962,727,72,509.75,Desktop
2025-07-23,Summer Sale,Broad,TikTok,230.77,1202,971,74,275.74,Desktop
2025-07-26,Flash Deal,Broad,TikTok,477.49,2916,524,96,1220.23,Desktop
2025-07-30,Summer Sale,Prospecting,TikTok,122.03,2309,618,24,1349.97,Mobile
2025-06-30,Flash Deal,Prospecting,TikTok,312.88,7705,880,20,729.16,Mobile
2025-07-20,Xmas Promo,Lookalike,TikTok,65.64,1597,782,52,1349.71,Desktop
2025-07-20,Summer Sale,Broad,TikTok,264.95,1126,960,51,1549.19,Desktop
2025-07-01,Xmas Promo,Broad,TikTok,264.88,1722,820,54,1707.32,Mobile
2025-07-30,Summer Sale,Retargeting,TikTok,280.43,986,306,63,1130.66,Mobile
2025-07-20,Xmas Promo,Lookalike,TikTok,439.56,3873,417,27,818.9,Desktop
2025-07-05,Summer Sale,Retargeting,TikTok,75.67,5835,673,44,76.99,Desktop
2025-07-13,Summer Sale,Broad,TikTok,380.02,3582,236,57,1248.21,Mobile
2025-07-12,Xmas Promo,Lookalike,TikTok,355.0,1961,408,85,441.67,Desktop
2025-07-08,Summer Sale,Lookalike,TikTok,76.82,3110,435,14,48.8,Desktop
2025-07-11,Flash Deal,Broad,TikTok,181.79,9494,381,58,1188.04,Desktop
2025-07-03,Xmas Promo,Lookalike,TikTok,202.2,3221,401,27,886.2,Mobile
2025-07-05,Summer Sale,Lookalike,TikTok,453.04,6802,112,21,709.55,Mobile
2025-07-05,Summer Sale,Prospecting,TikTok,261.85,7328,330,23,1571.63,Desktop
2025-07-06,Summer Sale,Prospecting,TikTok,204.31,6384,265,45,1251.73,Desktop
2025-07-30,Summer Sale,Retargeting,TikTok,432.56,1558,59,65,1900.05,Mobile
2025-07-28,Back to School,Retargeting,TikTok,82.07,6118,998,12,1854.64,Mobile
2025-07-27,Summer Sale,Lookalike,TikTok,251.14,6297,415,84,531.32,Desktop
2025-07-10,Summer Sale,Lookalike,TikTok,234.98,6631,520,65,1960.46,Desktop
2025-07-23,Back to School,Prospecting,TikTok,251.38,5136,104,89,670.93,Mobile
2025-07-10,Back to School,Lookalike,TikTok,320.37,7076,378,33,495.49,Desktop
2025-07-18,Flash Deal,Lookalike,TikTok,47.17,4973,415,27,275.18,Mobile
2025-07-18,Flash Deal,Broad,TikTok,72.74,606,278,19,320.77,Desktop
2025-07-25,Summer Sale,Prospecting,TikTok,78.03,7910,700,28,1288.93,Desktop
2025-07-09,Summer Sale,Lookalike,TikTok,99.12,8596,457,84,704.42,Mobile
2025-07-25,Flash Deal,Prospecting,TikTok,449.43,1533,236,10,958.44,Desktop
2025-07-19,Flash Deal,Retargeting,TikTok,337.1,3409,361,67,361.19,Mobile
2025-07-17,Summer Sale,Prospecting,TikTok,104.22,2325,932,33,100.92,Mobile
2025-07-01,Summer Sale,Retargeting,TikTok,92.78,5081,626,46,571.61,Mobile
2025-07-14,Back to School,Broad,TikTok,96.74,9277,737,20,195.63,Desktop
2025-07-21,Summer Sale,Prospecting,TikTok,69.11,6981,640,28,932.34,Desktop
2025-07-07,Flash Deal,Lookalike,TikTok,111.1,2842,832,63,741.25,Desktop
2025-07-22,Summer Sale,Lookalike,TikTok,256.67,5288,832,41,1386.98,Mobile
2025-07-02,Back to School,Lookalike,TikTok,29.26,3373,628,70,1602.83,Mobile
2025-07-01,Flash Deal,Lookalike,TikTok,317.67,7213,334,50,181.88,Mobile
2025-07-14,Back to School,Prospecting,TikTok,438.05,2738,30,47,1843.33,Mobile
2025-07-17,Back to School,Broad,TikTok,39.93,3477,888,48,568.22,Mobile
2025-07-01,Xmas Promo,Prospecting,TikTok,405.04,4058,71,19,1501.55,Desktop
2025-07-30,Back to School,Broad,TikTok,100.42,6948,368,72,434.51,Desktop
2025-07-22,Back to School,Broad,TikTok,191.53,1531,844,52,979.36,Desktop
2025-07-30,Flash Deal,Lookalike,TikTok,312.94,9942,493,69,750.45,Mobile
2025-07-17,Xmas Promo,Retargeting,TikTok,236.64,3298,494,89,1499.99,Desktop
2025-07-05,Xmas Promo,Prospecting,TikTok,27.97,8538,890,12,519.83,Mobile
2025-07-19,Flash Deal,Prospecting,TikTok,359.54,5092,841,45,1792.51,Mobile
2025-07-02,Xmas Promo,Prospecting,TikTok,260.72,3748,304,27,1073.58,Mobile
2025-07-12,Summer Sale,Retargeting,TikTok,62.51,929,520,16,905.88,Mobile
2025-07-28,Summer Sale,Broad,TikTok,270.98,2534,769,72,500.09,Mobile
2025-07-16,Flash Deal,Retargeting,TikTok,141.93,769,243,85,767.02,Mobile
2025-07-20,Xmas Promo,Broad,TikTok,19.83,6251,437,28,657.72,Mobile
2025-06-30,Summer Sale,Lookalike,TikTok,113.61,6847,625,72,668.44,Desktop
2025-07-20,Flash Deal,Retargeting,TikTok,68.68,7494,972,90,1783.24,Mobile
2025-07-20,Flash Deal,Lookalike,TikTok,300.86,7199,297,83,1364.62,Desktop
2025-07-13,Xmas Promo,Broad,TikTok,396.69,7578,75,39,1006.92,Desktop
2025-07-11,Xmas Promo,Prospecting,TikTok,52.59,8816,160,65,1083.47,Mobile
2025-07-25,Back to School,Broad,TikTok,297.55,2890,51,34,1495.97,Mobile
2025-07-19,Summer Sale,Broad,TikTok,221.51,1891,271,50,272.61,Desktop
2025-07-21,Summer Sale,Retargeting,TikTok,149.05,5803,194,21,738.9,Desktop
2025-07-30,Flash Deal,Lookalike,TikTok,326.5,2586,248,92,1150.14,Desktop
2025-07-25,Xmas Promo,Broad,TikTok,184.49,6788,180,46,1973.3,Mobile
2025-07-27,Back to School,Lookalike,TikTok,306.83,1891,963,86,489.71,Desktop
2025-07-03,Back to School,Prospecting,TikTok,59.87,8067,988,28,322.66,Desktop
2025-07-30,Back to School,Broad,TikTok,130.52,4190,38,8,338.15,Mobile
2025-07-12,Xmas Promo,Lookalike,TikTok,101.42,6462,882,44,584.49,Mobile
2025-07-02,Summer Sale,Retargeting,TikTok,94.95,5161,537,58,1795.6,Mobile
2025-07-02,Flash Deal,Broad,TikTok,49.31,8527,351,16,1058.53,Desktop
2025-07-24,Xmas Promo,Retargeting,TikTok,211.09,974,352,74,1965.11,Mobile
2025-07-30,Summer Sale,Retargeting,TikTok,64.9,3371,496,82,807.75,Desktop
2025-07-08,Xmas Promo,Broad,TikTok,485.04,784,934,9,1733.7,Mobile
2025-07-30,Xmas Promo,Lookalike,TikTok,410.37,7782,965,10,530.65,Desktop
2025-07-13,Back to School,Prospecting,TikTok,93.73,1144,876,34,1343.91,Desktop
2025-07-30,Xmas Promo,Lookalike,TikTok,465.39,7964,805,14,1122.39,Mobile
2025-07-06,Flash Deal,Broad,TikTok,290.09,9537,884,66,574.36,Mobile
2025-07-08,Back to School,Retargeting,TikTok,387.05,2973,267,97,390.35,Desktop
2025-07-14,Summer Sale,Retargeting,TikTok,168.6,7053,403,76,862.36,Mobile
2025-07-27,Xmas Promo,Lookalike,TikTok,258.73,6758,211,90,499.97,Mobile
2025-07-13,Summer Sale,Prospecting,TikTok,66.27,9146,768,9,1229.03,Mobile
2025-07-06,Xmas Promo,Broad,TikTok,151.43,6624,81,27,1170.85,Desktop
2025-07-04,Flash Deal,Prospecting,TikTok,85.64,5309,39,47,972.66,Desktop
2025-07-14,Flash Deal,Prospecting,TikTok,270.97,5849,590,92,122.61,Mobile
2025-07-27,Back to School,Lookalike,TikTok,174.94,4373,393,83,286.14,Mobile
2025-07-16,Flash Deal,Prospecting,TikTok,41.05,1507,758,57,1980.12,Mobile
2025-07-09,Xmas Promo,Broad,TikTok,167.95,7452,538,20,1623.55,Mobile
2025-07-20,Summer Sale,Broad,TikTok,134.77,3289,56,26,1369.38,Mobile
2025-07-22,Back to School,Prospecting,TikTok,382.51,9022,660,100,1199.36,Mobile
2025-07-12,Xmas Promo,Retargeting,TikTok,241.07,7645,609,71,835.45,Mobile
2025-07-05,Back to School,Prospecting,TikTok,180.95,9068,803,88,1860.47,Desktop
2025-07-20,Flash Deal,Prospecting,TikTok,417.0,2739,709,34,1930.75,Desktop
2025-07-17,Summer Sale,Broad,TikTok,70.91,5843,598,83,1467.12,Desktop
2025-07-14,Back to School,Retargeting,TikTok,469.79,8947,99,56,378.84,Desktop
2025-07-08,Flash Deal,Lookalike,TikTok,42.58,7212,394,75,1487.42,Mobile
2025-07-15,Summer Sale,Broad,TikTok,291.49,3448,576,30,1686.82,Mobile
2025-07-15,Flash Deal,Retargeting,TikTok,78.49,501,974,51,1594.63,Mobile
2025-07-06,Xmas Promo,Broad,TikTok,108.8,4452,174,22,344.04,Desktop
2025-07-17,Xmas Promo,Broad,TikTok,90.49,4302,914,95,1632.86,Mobile
2025-07-01,Summer Sale,Lookalike,TikTok,335.95,7459,352,11,1055.67,Desktop
2025-07-24,Summer Sale,Broad,TikTok,185.83,3884,906,40,1756.86,Mobile
2025-07-16,Summer Sale,Prospecting,TikTok,202.3,4051,505,81,1636.87,Mobile
2025-07-28,Xmas Promo,Prospecting,TikTok,225.18,9127,599,7,766.35,Desktop
2025-07-11,Xmas Promo,Broad,TikTok,236.71,7607,60,8,616.73,Mobile
2025-07-01,Flash Deal,Retargeting,TikTok,376.33,5607,775,8,1015.39,Desktop
2025-07-24,Xmas Promo,Retargeting,TikTok,123.78,6912,904,56,1801.16,Mobile
2025-07-01,Xmas Promo,Retargeting,TikTok,198.11,2657,997,96,1096.23,Mobile
2025-07-18,Back to School,Retargeting,TikTok,454.17,9844,151,39,1255.99,Desktop
2025-07-18,Back to School,Lookalike,TikTok,67.28,3180,554,92,1880.87,Mobile
2025-07-06,Summer Sale,Broad,TikTok,317.58,4212,919,79,683.11,Mobile
2025-07-26,Back to School,Prospecting,TikTok,78.24,4808,260,65,1592.17,Mobile
2025-07-21,Back to School,Broad,TikTok,313.84,9635,481,49,1076.25,Mobile
2025-07-14,Summer Sale,Prospecting,TikTok,448.01,6694,203,69,1581.42,Mobile
2025-07-24,Summer Sale,Prospecting,TikTok,84.32,2647,736,14,637.21,Desktop
2025-07-22,Xmas Promo,Lookalike,TikTok,131.76,8015,700,75,1493.01,Desktop
2025-07-24,Xmas Promo,Retargeting,TikTok,26.43,5984,817,73,1148.38,Desktop
2025-07-02,Back to School,Retargeting,TikTok,383.6,2121,419,91,1756.0,Mobile
2025-07-22,Back to School,Lookalike,TikTok,177.62,2287,644,79,1646.09,Mobile
2025-07-13,Xmas Promo,Retargeting,TikTok,64.21,8713,61,79,1695.98,Desktop
2025-07-01,Summer Sale,Broad,TikTok,72.47,1079,959,78,806.63,Desktop
2025-07-15,Flash Deal,Lookalike,TikTok,400.67,8454,879,99,316.84,Desktop
2025-07-18,Xmas Promo,Retargeting,TikTok,122.33,8105,797,100,1450.06,Mobile
2025-07-24,Xmas Promo,Lookalike,TikTok,362.82,3005,614,53,1289.47,Mobile
2025-07-10,Xmas Promo,Broad,TikTok,350.03,6896,401,78,1094.59,Mobile
2025-07-08,Back to School,Lookalike,TikTok,133.38,6639,790,42,704.48,Desktop
2025-07-11,Summer Sale,Prospecting,TikTok,98.98,6485,47,71,1818.73,Desktop
2025-07-03,Xmas Promo,Broad,TikTok,295.86,3788,640,51,813.69,Mobile
2025-07-20,Back to School,Lookalike,TikTok,236.38,5408,844,91,1895.62,Desktop
2025-07-11,Summer Sale,Prospecting,TikTok,85.14,2416,201,41,1180.74,Mobile
2025-07-05,Summer Sale,Lookalike,TikTok,257.89,4547,708,87,1230.68,Desktop
2025-07-15,Flash Deal,Lookalike,TikTok,18.87,5844,415,11,1746.81,Mobile
2025-07-29,Xmas Promo,Lookalike,TikTok,466.74,1544,798,73,1138.96,Mobile
2025-07-25,Back to School,Prospecting,TikTok,351.36,6719,342,80,1846.55,Mobile
